"","X","Datum","x","phenomena"
"1",1,"2017-07-24 23:00:00",69.8443859649123,"Luftfeuchtigkeit"
"2",2,"2017-07-25 23:00:00",66.578730703259,"Luftfeuchtigkeit"
"3",3,"2017-07-26 23:00:00",69.0647260273973,"Luftfeuchtigkeit"
"4",4,"2017-07-27 23:00:00",62.2582037996546,"Luftfeuchtigkeit"
"5",5,"2017-07-28 23:00:00",63.7494863013699,"Luftfeuchtigkeit"
"6",6,"2017-07-29 23:00:00",59.2970315398887,"Luftfeuchtigkeit"
"7",7,"2017-07-30 23:00:00",56.0498287671233,"Luftfeuchtigkeit"
"8",8,"2017-07-31 23:00:00",73.4627383015598,"Luftfeuchtigkeit"
"9",9,"2017-08-01 23:00:00",72.540206185567,"Luftfeuchtigkeit"
"10",10,"2017-08-02 23:00:00",70.2649484536082,"Luftfeuchtigkeit"
"11",11,"2017-08-03 23:00:00",60.1677530017153,"Luftfeuchtigkeit"
"12",12,"2017-08-04 23:00:00",78.0036395147314,"Luftfeuchtigkeit"
"13",13,"2017-08-05 23:00:00",62.8172945205479,"Luftfeuchtigkeit"
"14",14,"2017-08-06 23:00:00",52.1356164383562,"Luftfeuchtigkeit"
"15",15,"2017-08-07 23:00:00",66.1548302872063,"Luftfeuchtigkeit"
"16",16,"2017-08-09 23:00:00",84.8875,"Luftfeuchtigkeit"
"17",17,"2017-08-10 23:00:00",83.2951890034364,"Luftfeuchtigkeit"
"18",18,"2017-08-12 23:00:00",68.05,"Luftfeuchtigkeit"
"19",19,"2017-08-13 23:00:00",77.6773255813954,"Luftfeuchtigkeit"
"20",20,"2017-08-18 23:00:00",71.3871853546911,"Luftfeuchtigkeit"
"21",21,"2017-08-19 23:00:00",67.0822222222222,"Luftfeuchtigkeit"
"22",22,"2017-08-20 23:00:00",58.4542024013722,"Luftfeuchtigkeit"
"23",23,"2017-08-21 23:00:00",55.1201492537313,"Luftfeuchtigkeit"
"24",24,"2017-08-22 23:00:00",54.5832478632479,"Luftfeuchtigkeit"
"25",25,"2017-08-23 23:00:00",64.1972508591065,"Luftfeuchtigkeit"
"26",26,"2017-08-24 23:00:00",61.3917948717949,"Luftfeuchtigkeit"
"27",27,"2017-08-25 23:00:00",71.8481228668942,"Luftfeuchtigkeit"
"28",28,"2017-08-26 23:00:00",55.9,"Luftfeuchtigkeit"
"29",29,"2017-08-27 23:00:00",56.8070325900515,"Luftfeuchtigkeit"
"30",30,"2017-08-28 23:00:00",59.8822222222222,"Luftfeuchtigkeit"
"31",31,"2017-08-29 23:00:00",69.0245733788396,"Luftfeuchtigkeit"
"32",32,"2017-08-30 23:00:00",71.7302564102564,"Luftfeuchtigkeit"
"33",33,"2017-08-31 23:00:00",67.8125,"Luftfeuchtigkeit"
"34",34,"2017-09-01 23:00:00",70.7405498281787,"Luftfeuchtigkeit"
"35",35,"2017-09-02 23:00:00",62.7532173913043,"Luftfeuchtigkeit"
"36",36,"2017-09-03 23:00:00",62.9709621993127,"Luftfeuchtigkeit"
"37",37,"2017-09-04 23:00:00",70.9297762478485,"Luftfeuchtigkeit"
"38",38,"2017-09-05 23:00:00",63.9774358974359,"Luftfeuchtigkeit"
"39",39,"2017-09-06 23:00:00",65.4149484536082,"Luftfeuchtigkeit"
"40",40,"2017-09-07 23:00:00",79.323883161512,"Luftfeuchtigkeit"
"41",41,"2017-09-08 23:00:00",83.6894017094017,"Luftfeuchtigkeit"
"42",42,"2017-09-09 23:00:00",71.5933928571429,"Luftfeuchtigkeit"
"43",43,"2017-09-10 23:00:00",69.2422945205479,"Luftfeuchtigkeit"
"44",44,"2017-09-11 23:00:00",75.8817094017094,"Luftfeuchtigkeit"
"45",45,"2017-09-12 23:00:00",70.3635897435897,"Luftfeuchtigkeit"
"46",46,"2017-09-13 23:00:00",80.0892123287671,"Luftfeuchtigkeit"
"47",47,"2017-09-14 23:00:00",78.5678082191781,"Luftfeuchtigkeit"
"48",48,"2017-09-15 23:00:00",71.6414089347079,"Luftfeuchtigkeit"
"49",49,"2017-09-16 23:00:00",73.3030821917808,"Luftfeuchtigkeit"
"50",50,"2017-09-17 23:00:00",80.4765363128492,"Luftfeuchtigkeit"
"51",51,"2017-09-21 23:00:00",92.2735294117647,"Luftfeuchtigkeit"
"52",52,"2017-09-22 23:00:00",77.2996581196581,"Luftfeuchtigkeit"
"53",53,"2017-09-23 23:00:00",75.7567753001715,"Luftfeuchtigkeit"
"54",54,"2017-09-24 23:00:00",79.5901893287435,"Luftfeuchtigkeit"
"55",55,"2017-09-25 23:00:00",79.496735395189,"Luftfeuchtigkeit"
"56",56,"2017-09-26 23:00:00",74.4883561643836,"Luftfeuchtigkeit"
"57",57,"2017-09-27 23:00:00",82.3662671232877,"Luftfeuchtigkeit"
"58",58,"2017-09-28 23:00:00",84.0854452054794,"Luftfeuchtigkeit"
"59",59,"2017-09-29 23:00:00",90.7609403254973,"Luftfeuchtigkeit"
"60",60,"2017-09-30 23:00:00",75.9808219178082,"Luftfeuchtigkeit"
"61",61,"2017-10-01 23:00:00",77.4396581196581,"Luftfeuchtigkeit"
"62",62,"2017-10-02 23:00:00",78.1494017094017,"Luftfeuchtigkeit"
"63",63,"2017-10-03 23:00:00",73.3053082191781,"Luftfeuchtigkeit"
"64",64,"2017-10-04 23:00:00",77.9182130584192,"Luftfeuchtigkeit"
"65",65,"2017-10-05 23:00:00",80.7474226804124,"Luftfeuchtigkeit"
"66",66,"2017-10-06 23:00:00",84.9234589041096,"Luftfeuchtigkeit"
"67",67,"2017-10-07 23:00:00",87.273756432247,"Luftfeuchtigkeit"
"68",68,"2017-10-08 23:00:00",89.6838487972509,"Luftfeuchtigkeit"
"69",69,"2017-10-09 23:00:00",88.5397569444444,"Luftfeuchtigkeit"
"70",70,"2017-10-10 23:00:00",82.388698630137,"Luftfeuchtigkeit"
"71",71,"2017-10-11 23:00:00",75.4840350877193,"Luftfeuchtigkeit"
"72",72,"2017-10-12 23:00:00",87.1861301369863,"Luftfeuchtigkeit"
"73",73,"2017-10-13 23:00:00",83.8809278350516,"Luftfeuchtigkeit"
"74",74,"2017-10-14 23:00:00",80.6884879725086,"Luftfeuchtigkeit"
"75",75,"2017-10-15 23:00:00",81.660102739726,"Luftfeuchtigkeit"
"76",76,"2017-10-16 23:00:00",87.5171929824561,"Luftfeuchtigkeit"
"77",77,"2017-10-17 23:00:00",80.6756013745704,"Luftfeuchtigkeit"
"78",78,"2017-10-18 23:00:00",79.7687179487179,"Luftfeuchtigkeit"
"79",79,"2017-10-19 23:00:00",74.8831903945111,"Luftfeuchtigkeit"
"80",80,"2017-10-20 23:00:00",79.998627787307,"Luftfeuchtigkeit"
"81",81,"2017-10-21 23:00:00",81.6219931271478,"Luftfeuchtigkeit"
"82",82,"2017-10-22 23:00:00",84.7438356164384,"Luftfeuchtigkeit"
"83",83,"2017-10-23 23:00:00",94.2129982668977,"Luftfeuchtigkeit"
"84",84,"2017-10-24 23:00:00",91.5813036020583,"Luftfeuchtigkeit"
"85",85,"2017-10-25 23:00:00",93.0291595197256,"Luftfeuchtigkeit"
"86",86,"2017-10-26 23:00:00",83.6802405498282,"Luftfeuchtigkeit"
"87",87,"2017-10-27 23:00:00",89.911301369863,"Luftfeuchtigkeit"
"88",88,"2017-10-28 23:00:00",79.4176068376068,"Luftfeuchtigkeit"
"89",89,"2017-10-29 23:00:00",77.2686643835616,"Luftfeuchtigkeit"
"90",90,"2017-10-30 23:00:00",84.4223570190641,"Luftfeuchtigkeit"
"91",91,"2017-10-31 23:00:00",82.976,"Luftfeuchtigkeit"
"92",92,"2017-11-01 23:00:00",87.8521968365554,"Luftfeuchtigkeit"
"93",93,"2017-11-02 23:00:00",88.8329842931937,"Luftfeuchtigkeit"
"94",94,"2017-11-03 23:00:00",88.0984589041096,"Luftfeuchtigkeit"
"95",95,"2017-11-04 23:00:00",86.7561739130435,"Luftfeuchtigkeit"
"96",96,"2017-11-05 23:00:00",84.9483648881239,"Luftfeuchtigkeit"
"97",97,"2017-11-06 23:00:00",86.7662671232877,"Luftfeuchtigkeit"
"98",98,"2017-11-07 23:00:00",92.9809440559441,"Luftfeuchtigkeit"
"99",99,"2017-11-08 23:00:00",91.4170138888889,"Luftfeuchtigkeit"
"100",100,"2017-11-09 23:00:00",88.7756013745704,"Luftfeuchtigkeit"
"101",101,"2017-11-10 23:00:00",91.8739279588336,"Luftfeuchtigkeit"
"102",102,"2017-11-11 23:00:00",92.3060034305317,"Luftfeuchtigkeit"
"103",103,"2017-11-12 23:00:00",87.6218588640275,"Luftfeuchtigkeit"
"104",104,"2017-11-13 23:00:00",89.6391681109185,"Luftfeuchtigkeit"
"105",105,"2017-11-14 23:00:00",96.6125645438898,"Luftfeuchtigkeit"
"106",106,"2017-11-15 23:00:00",92.1159793814433,"Luftfeuchtigkeit"
"107",107,"2017-11-16 23:00:00",86.2128644939966,"Luftfeuchtigkeit"
"108",108,"2017-11-17 23:00:00",88.9339070567986,"Luftfeuchtigkeit"
"109",109,"2017-11-18 23:00:00",90.3024013722127,"Luftfeuchtigkeit"
"110",110,"2017-11-19 23:00:00",94.9915662650602,"Luftfeuchtigkeit"
"111",111,"2017-11-20 23:00:00",96.8736301369863,"Luftfeuchtigkeit"
"112",112,"2017-11-21 23:00:00",85.4631217838765,"Luftfeuchtigkeit"
"113",113,"2017-11-22 23:00:00",83.87917383821,"Luftfeuchtigkeit"
"114",114,"2017-11-23 23:00:00",94.5284734133791,"Luftfeuchtigkeit"
"115",115,"2017-11-24 23:00:00",91.8101200686106,"Luftfeuchtigkeit"
"116",116,"2017-11-25 23:00:00",91.9170984455959,"Luftfeuchtigkeit"
"117",117,"2017-11-26 23:00:00",94.4419520547945,"Luftfeuchtigkeit"
"118",118,"2017-11-27 23:00:00",91.4219554030875,"Luftfeuchtigkeit"
"119",119,"2017-11-28 23:00:00",89.8356164383562,"Luftfeuchtigkeit"
"120",120,"2017-11-29 23:00:00",94.0333904109589,"Luftfeuchtigkeit"
"121",121,"2017-11-30 23:00:00",90.4833619210978,"Luftfeuchtigkeit"
"122",122,"2017-12-01 23:00:00",94.1837328767123,"Luftfeuchtigkeit"
"123",123,"2017-12-02 23:00:00",95.7165517241379,"Luftfeuchtigkeit"
"124",124,"2017-12-03 23:00:00",98.2563356164383,"Luftfeuchtigkeit"
"125",125,"2017-12-04 23:00:00",94.6401372212693,"Luftfeuchtigkeit"
"126",126,"2017-12-05 23:00:00",90.873756432247,"Luftfeuchtigkeit"
"127",127,"2017-12-06 23:00:00",90.4044444444445,"Luftfeuchtigkeit"
"128",128,"2017-12-07 23:00:00",94.9847863247863,"Luftfeuchtigkeit"
"129",129,"2017-12-08 23:00:00",93.3793162393162,"Luftfeuchtigkeit"
"130",130,"2017-12-09 23:00:00",97.0876712328767,"Luftfeuchtigkeit"
"131",131,"2017-12-10 23:00:00",99.9,"Luftfeuchtigkeit"
"132",132,"2017-12-11 23:00:00",99.9,"Luftfeuchtigkeit"
"133",133,"2017-12-12 23:00:00",99.9,"Luftfeuchtigkeit"
"134",134,"2017-12-13 23:00:00",99.9,"Luftfeuchtigkeit"
"135",135,"2017-12-14 23:00:00",99.9,"Luftfeuchtigkeit"
"136",136,"2017-12-15 23:00:00",99.8835355285962,"Luftfeuchtigkeit"
"137",137,"2017-12-16 23:00:00",99.9,"Luftfeuchtigkeit"
"138",138,"2017-12-17 23:00:00",99.9,"Luftfeuchtigkeit"
"139",139,"2017-12-18 23:00:00",99.9,"Luftfeuchtigkeit"
"140",140,"2017-12-19 23:00:00",99.9,"Luftfeuchtigkeit"
"141",141,"2017-12-20 23:00:00",99.9,"Luftfeuchtigkeit"
"142",142,"2017-12-21 23:00:00",99.9,"Luftfeuchtigkeit"
"143",143,"2017-12-22 23:00:00",99.9,"Luftfeuchtigkeit"
"144",144,"2017-12-23 23:00:00",99.9,"Luftfeuchtigkeit"
"145",145,"2017-12-24 23:00:00",99.9,"Luftfeuchtigkeit"
"146",146,"2017-12-25 23:00:00",99.9,"Luftfeuchtigkeit"
"147",147,"2017-12-26 23:00:00",99.9,"Luftfeuchtigkeit"
"148",148,"2017-12-27 23:00:00",99.8832478632479,"Luftfeuchtigkeit"
"149",149,"2017-12-28 23:00:00",99.9,"Luftfeuchtigkeit"
"150",150,"2017-12-29 23:00:00",99.9,"Luftfeuchtigkeit"
"151",151,"2017-12-30 23:00:00",99.9,"Luftfeuchtigkeit"
